Event	ID	Name			Wwise Object Path	Notes
	135230898	Play_Creek			\Default Work Unit\Play_Creek	
	2959533290	Play_Amb			\Default Work Unit\Play_Amb	
	3439690150	Play_Leaves			\Default Work Unit\Play_Leaves	
	3679851939	Play_Bonfire			\Default Work Unit\Play_Bonfire	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	20510519	Bird_Fly_01	.cache\60\{60075F65-5E9F-5EED-0A34-46B97E956BF3}.wem		\Containers\Default Work Unit\Amb\Random_Bird_Fly\Bird_Fly_01		627760
	108398071	Bird	.cache\92\{92C358BC-555E-46B3-4072-414F7F9958BD}.wem		\Containers\Default Work Unit\Amb\Background\Random_Birds_Sound\Bird		1003752
	111688204	Creek	.cache\53\{53D5DB6D-8474-C9D8-2482-9C3DE69AF36F}.wem		\Containers\Default Work Unit\Amb\Creek		21168144
	207586963	Bird_01	.cache\A6\{A690DFDE-949F-B116-8362-36D6E51EB66C}.wem		\Containers\Default Work Unit\Amb\Background\Random_Birds_Sound\Bird_01		1695160
	365606980	Bird_02	.cache\0B\{0B0A077B-C4AC-A31E-F3D0-76D87121A5A4}.wem		\Containers\Default Work Unit\Amb\Background\Random_Birds_Sound\Bird_02		981448
	484338727	Bird_Fly	.cache\EB\{EB9D6FCE-CB88-0562-3948-A2F319B43D50}.wem		\Containers\Default Work Unit\Amb\Random_Bird_Fly\Bird_Fly		570700
	516223753	White_Noise	.cache\F0\{F052C329-A8A6-937A-D48B-10538A38E677}.wem		\Containers\Default Work Unit\Amb\Background\White_Noise		11524240
	689453801	Bonfire	.cache\17\{176410BC-7571-A1B3-947A-2B227BDE2D61}.wem		\Containers\Default Work Unit\Amb\Bonfire		51291024
	740117575	Bird_Fly_02	.cache\27\{27A87542-7282-928D-45FB-1D89B8E13466}.wem		\Containers\Default Work Unit\Amb\Random_Bird_Fly\Bird_Fly_02		593524
	1003430248	Leaves	.cache\E8\{E8CB468A-9991-EA4E-D279-C6808F212D61}.wem		\Containers\Default Work Unit\Amb\Leaves		16233976
	1026443751	Salmon Run final	.cache\76\{7676BF38-1D95-1A26-CCE7-9BBFE90E554F}.wem		\Containers\Default Work Unit\Amb\Background\Salmon Run final		31631872
	1070369520	Bird_03	.cache\F3\{F35773F8-D467-F753-1C6D-0D95BA978F9A}.wem		\Containers\Default Work Unit\Amb\Background\Random_Birds_Sound\Bird_03		1828980

